"edible","capshape","capsurface","capcolor","bruises","odor","gillattach","gillspace","gillsize","gillcolor","stalkshape","stalkroot","stalksurfabove","stalksurfbelow","stalkcolorabove","stalkcolorbelow","veiltype","veilcolor","ringnumber","ringtype","sporeprintcol","pop","habitat"
"poisonous","convex","fibrous","w","no","creosote","free","crowded","narrow","purple","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","solitary","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","solitary","woods"
"edible","convex","fibrous","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","pink","brown","partial","white","one","large","chocolate","several","grasses"
"edible","convex","fibrous","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","buff","brown","partial","white","one","large","chocolate","solitary","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","solitary","woods"
"poisonous","convex","scaly","g","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","buff","pink","partial","white","one","large","chocolate","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","solitary","woods"
"poisonous","flat","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","brown","pink","partial","white","one","large","chocolate","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","smooth","g","no","creosote","free","close","narrow","gray","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","solitary","woods"
"edible","convex","fibrous","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","smooth","p","no","creosote","free","crowded","narrow","brown","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","woods"
"poisonous","flat","fibrous","g","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","buff","pink","partial","white","one","large","chocolate","several","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","solitary","woods"
"poisonous","convex","fibrous","p","no","creosote","free","close","narrow","purple","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","woods"
"edible","convex","fibrous","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","solitary","woods"
"poisonous","convex","smooth","w","no","creosote","free","crowded","narrow","pink","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","scaly","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","buff","pink","partial","white","one","large","chocolate","several","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","woods"
"poisonous","convex","smooth","g","no","creosote","free","crowded","narrow","brown","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","pink","brown","partial","white","one","large","chocolate","solitary","woods"
"edible","convex","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods"
"poisonous","convex","smooth","p","no","creosote","free","close","narrow","brown","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","pink","pink","partial","white","one","large","chocolate","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","several","woods"
"poisonous","convex","smooth","p","no","creosote","free","close","narrow","pink","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","woods"
"edible","flat","fibrous","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","several","woods"
"edible","convex","scaly","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","convex","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","solitary","woods"
"poisonous","convex","fibrous","p","no","creosote","free","close","narrow","pink","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","several","woods"
"poisonous","convex","scaly","y","no","foul","free","close","broad","pink","e","bulbous","silky","silky","brown","brown","partial","white","one","large","chocolate","solitary","woods"
"poisonous","convex","smooth","g","no","creosote","free","crowded","narrow","pink","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods"
"poisonous","flat","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","brown","brown","partial","white","one","large","chocolate","several","woods"
"poisonous","convex","fibrous","g","no","creosote","free","crowded","narrow","brown","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods"
"edible","convex","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","brown","solitary","woods"
"poisonous","convex","fibrous","y","no","foul","free","close","broad","pink","e","bulbous","silky","silky","buff","brown","partial","white","one","large","chocolate","several","grasses"
"edible","flat","fibrous","g","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","brown","solitary","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","buff","pink","partial","white","one","large","chocolate","several","paths"
"edible","flat","scaly","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","solitary","woods"
"poisonous","flat","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","brown","pink","partial","white","one","large","chocolate","solitary","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods"
"poisonous","convex","fibrous","y","no","foul","free","close","broad","gray","e","bulbous","silky","silky","pink","brown","partial","white","one","large","chocolate","solitary","paths"
"edible","flat","fibrous","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","buff","buff","partial","white","one","large","chocolate","several","grasses"
"edible","flat","scaly","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","fibrous","g","no","creosote","free","close","narrow","brown","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods"
"edible","convex","fibrous","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods"
"edible","convex","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","p","no","creosote","free","close","narrow","gray","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","woods"
"edible","convex","scaly","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods"
"poisonous","flat","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","brown","brown","partial","white","one","large","chocolate","solitary","grasses"
"edible","flat","scaly","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","pink","buff","partial","white","one","large","chocolate","solitary","grasses"
"edible","flat","scaly","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","pink","buff","partial","white","one","large","chocolate","several","grasses"
"edible","flat","fibrous","e","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","solitary","woods"
"edible","convex","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","solitary","woods"
"edible","convex","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods"
"poisonous","convex","scaly","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","buff","brown","partial","white","one","large","chocolate","several","woods"
"poisonous","convex","smooth","g","no","creosote","free","close","narrow","gray","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","buff","brown","partial","white","one","large","chocolate","several","grasses"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","buff","buff","partial","white","one","large","chocolate","several","paths"
"poisonous","flat","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","buff","buff","partial","white","one","large","chocolate","solitary","paths"
"edible","flat","fibrous","g","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","buff","brown","partial","white","one","large","chocolate","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","scaly","y","no","foul","free","close","broad","pink","e","bulbous","silky","silky","brown","buff","partial","white","one","large","chocolate","solitary","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","fibrous","p","no","creosote","free","crowded","narrow","purple","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","solitary","woods"
"edible","convex","scaly","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","pink","brown","partial","white","one","large","chocolate","solitary","grasses"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","pink","brown","partial","white","one","large","chocolate","several","paths"
"edible","flat","fibrous","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods"
"edible","convex","fibrous","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","pink","pink","partial","white","one","large","chocolate","several","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","solitary","woods"
"poisonous","convex","fibrous","p","no","creosote","free","close","narrow","gray","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","brown","brown","partial","white","one","large","chocolate","solitary","paths"
"edible","convex","fibrous","e","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","smooth","g","no","creosote","free","crowded","narrow","purple","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","buff","pink","partial","white","one","large","chocolate","several","grasses"
"edible","flat","scaly","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","brown","buff","partial","white","one","large","chocolate","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","scaly","y","no","foul","free","close","broad","pink","e","bulbous","silky","silky","pink","brown","partial","white","one","large","chocolate","solitary","grasses"
"edible","flat","fibrous","g","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","brown","buff","partial","white","one","large","chocolate","solitary","grasses"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","pink","buff","partial","white","one","large","chocolate","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","buff","brown","partial","white","one","large","chocolate","solitary","paths"
"edible","flat","scaly","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","several","woods"
"poisonous","convex","scaly","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","brown","brown","partial","white","one","large","chocolate","solitary","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","pink","buff","partial","white","one","large","chocolate","several","paths"
"poisonous","flat","scaly","g","no","foul","free","close","broad","pink","e","bulbous","silky","silky","buff","buff","partial","white","one","large","chocolate","several","paths"
"edible","flat","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","g","no","creosote","free","crowded","narrow","brown","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods"
"poisonous","flat","fibrous","y","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","brown","buff","partial","white","one","large","chocolate","solitary","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods"
"edible","convex","scaly","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","buff","buff","partial","white","one","large","chocolate","solitary","paths"
"edible","convex","scaly","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","smooth","w","no","creosote","free","close","narrow","gray","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","solitary","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","pink","buff","partial","white","one","large","chocolate","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","solitary","woods"
"poisonous","convex","smooth","p","no","creosote","free","close","narrow","gray","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","solitary","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","fibrous","g","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","buff","buff","partial","white","one","large","chocolate","several","paths"
"edible","flat","scaly","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","smooth","p","no","creosote","free","close","narrow","brown","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","several","woods"
"edible","flat","scaly","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","solitary","woods"
"poisonous","convex","smooth","w","no","creosote","free","close","narrow","purple","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","chocolate","e","bulbous","silky","silky","brown","brown","partial","white","one","large","chocolate","several","paths"
"edible","flat","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","pink","pink","partial","white","one","large","chocolate","several","grasses"
"poisonous","convex","fibrous","w","no","creosote","free","close","narrow","brown","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","woods"
"edible","flat","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","solitary","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","g","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","w","no","creosote","free","crowded","narrow","pink","e","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","e","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"poisonous","convex","fibrous","g","no","foul","free","close","broad","gray","e","bulbous","silky","silky","pink","buff","partial","white","one","large","chocolate","several","grasses"
"edible","flat","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","brown","solitary","woods"
